peak,n_celltypes,magnitude,uniformity,non_additivity,sparsity,gini
chr19:659414-659915,3,1.0657275298774613,0.21073483779576718,0.9702408087684813,0.9285714285714286,0.9548435122593284
chr5:80255895-80256396,3,0.8847130870129614,0.2174910869552638,0.9690701380336464,0.9285714285714286,0.9547978996420686
chr6:157761248-157761749,3,1.1459963461537572,0.2173169395686778,0.9690430241286562,0.9285714285714286,0.95372968779402
chr21:15514134-15514635,3,1.5430424211461036,0.21805079027194882,0.9687074989081887,0.9285714285714286,0.9531512831965323
chr10:27568455-27568956,3,1.2056643820444297,0.22011972967109386,0.968329161819952,0.9285714285714286,0.9530403093575364
chr16:28148955-28149456,3,1.2613027588351253,0.2206480314391924,0.9680996578055049,0.9285714285714286,0.9526305664282844
chr7:76317942-76318443,3,0.7387389424893744,0.22208930246998834,0.9678202237263717,0.9285714285714286,0.9527931252050564
chr7:2633257-2633758,3,0.8551997424924824,0.2261632062485806,0.9661473045410056,0.9285714285714286,0.9504190996476952
chr7:467368-467869,3,1.029504133241056,0.22940379685769396,0.9652014160348927,0.9285714285714286,0.949731963640395
chr9:21833441-21833942,3,0.8269006883814113,0.23264404004178804,0.9636669887670727,0.9285714285714286,0.9481888381222447
chr2:190628058-190628559,3,0.9576303711316436,0.23261852864650281,0.9635406268906723,0.9285714285714286,0.9480158106855976
chr17:74532077-74532578,3,1.168021337544533,0.23346093365548515,0.9634002814817323,0.9285714285714286,0.948011446948334
chr14:24331495-24331996,3,1.2456871597508472,0.23521768723199993,0.9629146957216791,0.9285714285714286,0.9478301052152693
chr8:11783188-11783689,3,1.027390311017026,0.2349733146986469,0.9627444081369826,0.9285714285714286,0.9474772233672343
chr9:92729161-92729662,3,1.371670776506379,0.2359553436833563,0.9627433983748688,0.9285714285714286,0.9485551994577655
chr6:169589234-169589735,3,1.3416048519737749,0.23605103090676446,0.9624845139933018,0.9285714285714286,0.9474245017669868
chr3:127671775-127672276,3,1.124537937923847,0.23688182900694577,0.9622192266882155,0.9285714285714286,0.9473261557475873
chr19:7718627-7719128,3,1.1443986897911143,0.23601176628630569,0.9621816994306697,0.9285714285714286,0.9490162207661007
